GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1656065718	2024-04-28 07:59:22.752927	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_46950				Jhilmil Jheel Conservation Reserve	L4289532	H	29.7961540	78.2151890	2023-03-15	08:41:00	obsr1180124	S130947872	Traveling	P22	EBIRD	53	1.100		4	1	G9821656	0	1	0		Entry office to main watchtower		
URN:CornellLabOfOrnithology:EBIRD:OBS1656072843	2024-04-28 07:59:22.752927	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_46950				Jhilmil Jheel Conservation Reserve	L4289532	H	29.7961540	78.2151890	2023-03-15	08:41:00	obsr1164386	S130947870	Traveling	P22	EBIRD	53	1.100		4	1	G9821656	0	1	0		Entry office to main watchtower		
URN:CornellLabOfOrnithology:EBIRD:OBS1661222613	2023-03-21 03:52:01.767886	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				4					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji National Park Haridwar, Uttarakhand, IN (29.986, 78.054)	L22983752	P	29.9860179	78.0541904	2023-03-17	15:44:00	obsr975749	S131431382	Traveling	P22	EBIRD	195	31.463		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1652099679	2023-06-05 11:01:07.237618	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji National Park Haridwar, Uttarakhand, IN (29.986, 78.054)	L22983752	P	29.9860179	78.0541904	2023-03-09	14:50:00	obsr975749	S130575811	Traveling	P22	EBIRD	220	26.088		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1698675457	2023-04-26 01:55:51.998091	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji NP--Mohand range	L18379142	H	30.1544612	77.9397603	2023-04-16	09:44:00	obsr654072	S135039192	Traveling	P22	EBIRD	120	10.080		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1739748545	2024-03-04 19:14:22.861005	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji NP--Mohand range	L18379142	H	30.1544612	77.9397603	2023-05-25	07:38:00	obsr620324	S139165038	Traveling	P22	EBIRD	197	32.926		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1750313930	2023-06-04 02:07:49.3719	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				2					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Forest Road, Chillawali Range, Uttar Pradesh, IN (30.166, 77.913)	L11177375	P	30.1655321	77.9129404	2023-06-04	08:39:00	obsr104462	S140416334	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1882605214	2024-03-04 19:25:08.599229	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				2					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji National Park--Ranipur Range	L4701262	H	29.9762007	78.1201315	2023-11-20	08:26:00	obsr3042476	S155084829	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1932406278	2024-01-24 04:32:09.513522	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				2					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Ranipur Range, Uttarakhand, IN (29.983, 78.058)	L28918142	P	29.9832950	78.0577367	2023-12-08	11:06:00	obsr3431058	S159667765	Traveling	P22	EBIRD	23	5.320		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1889040538	2023-12-03 09:17:27.82109	7736	species	avibase-21D7169D	Red-headed Vulture	Sarcogyps calvus				1					India	IN	Uttarakhand	IN-UL	Haridwar	IN-UL-HA	BIRDLIFE_18450				Rajaji National Park--Ranipur Range	L4701262	H	29.9762007	78.1201315	2023-12-03	10:46:00	obsr3514658	S155641092	Traveling	P22	EBIRD	4	0.900		1	1		0	1	0				
