GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1980644394	2024-03-15 04:03:19.606852	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				2					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2024-03-15	07:45:00	obsr982093	S164871939	Traveling	P22	EBIRD	240	9.000		1	1		0	1	0			Nesting	
URN:CornellLabOfOrnithology:EBIRD:OBS1974881961	2024-03-09 06:17:08.866616	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2024-03-09	13:52:00	obsr1432578	S164169269	Incidental	P20	EBIRD				3	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1986084030	2024-03-20 22:13:33.774224	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				2					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG					Bokakhat, Golaghat IN-AS 26.60484, 93.39168	L29976852	P	26.6048430	93.3916800	2024-03-20	14:12:00	obsr549702	S165427126	Traveling	P22	EBIRD	168	6.840		4	1	G11933792	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1976262798	2024-03-10 12:15:04.8525	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				2					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2024-03-10	13:25:00	obsr4829185	S164321422	Traveling	P22	EBIRD	159	15.440		3	1	G11877227	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1974944635	2024-04-28 13:46:42.006562	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2024-03-09	13:56:00	obsr4630069	S164176350	Traveling	P22	EBIRD	193	9.950		7	1	G11867643	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS2006018825	2024-04-21 09:51:56.031048	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				2					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2024-03-28	14:32:00	obsr581219	S166220753	Traveling	P22	EBIRD	155	15.038		4	1		1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1975762621	2024-03-10 00:35:59.368325	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2024-03-10	07:46:00	obsr1432578	S164268105	Incidental	P20	EBIRD				3	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1977900138	2024-03-25 01:35:24.313899	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				2					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2024-03-12	13:48:00	obsr1449119	S164497521	Traveling	P22	EBIRD	189	18.170		5	1	G11889607	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1983951830	2024-03-18 02:26:59.644931	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				2					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Central Range (Kohora)	L1131607	H	26.6375608	93.3669409	2024-03-13	07:47:00	obsr547339	S165250808	Traveling	P22	EBIRD	250	17.813		4	1	G11925312	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1982828853	2024-03-17 05:50:23.510545	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Bokakhat, Golaghat IN-AS 26.59584, 93.29718	L29916766	P	26.5958450	93.2971780	2024-03-17	14:56:00	obsr1963526	S165118501	Traveling	P22	EBIRD	19	2.503		2	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1979704468	2024-05-03 11:44:39.931861	7747	species	avibase-11324DC8	Slender-billed Vulture	Gyps tenuirostris				1					India	IN	Assam	IN-AS	Golaghat	IN-AS-GG	BIRDLIFE_18087				Kaziranga NP & Surroundings--Western Range (Bagori)	L1131604	H	26.6108358	93.3030244	2024-03-13	13:56:00	obsr849936	S164761289	Traveling	P22	EBIRD	150	10.000		12	1	G11899141	1	1	0				
