GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1349526398	2023-06-25 03:41:14.767195	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				1					India	IN	Rajasthan	IN-RJ	Jaisalmer	IN-RJ-JS	BIRDLIFE_18347				Desert NP (DNP) & Surroundings--Sudasari	L942602	H	26.7223719	70.6044457	2022-02-22	07:30:00	obsr1216265	S103484461	Traveling	P22	EBIRD	240	15.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1348152249	2023-10-23 10:18:25.02004	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				2					India	IN	Rajasthan	IN-RJ	Jaisalmer	IN-RJ-JS					Mokla, Rajasthan, IN (27.133, 70.72)	L17805497	P	27.1334688	70.7204772	2022-02-21	09:53:00	obsr2930933	S103323100	Traveling	P22	EBIRD	49	2.460		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1352514862	2022-10-22 19:04:10.359201	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				1					India	IN	Rajasthan	IN-RJ	Jaisalmer	IN-RJ-JS					Nabhdungar	L7938959	H	26.7923989	70.6847171	2022-02-26	11:47:00	obsr188371	S103729025	Traveling	P22	EBIRD	30	6.566		4	1	G7935428	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1345640842	2023-10-19 00:52:56.380143	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				3					India	IN	Rajasthan	IN-RJ	Jaisalmer	IN-RJ-JS					Bhadasar (OBI)	L14920516	H	27.0834860	70.7371930	2022-02-19	15:49:00	obsr2930933	S102986629	Traveling	P22	EBIRD	5	3.000		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1541258336	2022-10-22 22:50:49.784639	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				5					India	IN	Rajasthan	IN-RJ	Jaisalmer	IN-RJ-JS	BIRDLIFE_18347				Sam Road, Jaisalmer (OBI)	L14876882	H	26.8435300	70.5446290	2022-02-13	07:00:00	obsr408878	S120752872	Traveling	P22	EBIRD	720	15.000		8	1	G9049456	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1358973788	2022-04-23 14:30:42.368336	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				3					India	IN	Rajasthan	IN-RJ	Jaisalmer	IN-RJ-JS	BIRDLIFE_18347				Desert NP--Sam to Sudasari Road	L13092596	H	26.7637113	70.5436421	2022-03-06	07:00:00	obsr1591633	S104272072	Traveling	P22	EBIRD	180	20.000		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1635326063	2023-12-18 11:08:39.60687	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				3					India	IN	Rajasthan	IN-RJ	Jaisalmer	IN-RJ-JS	BIRDLIFE_18347				Desert NP--Sam to Sudasari Road	L13092596	H	26.7637113	70.5436421	2022-03-15	13:00:00	obsr1122431	S128855604	Traveling	P22	EBIRD	1440	50.000		1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1374772395	2023-12-18 11:08:56.751922	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				8					India	IN	Rajasthan	IN-RJ	Jaisalmer	IN-RJ-JS					Basanpir	L18251477	P	26.9197225	71.1013733	2022-03-26	09:41:00	obsr1698578	S105585467	Traveling	P22	EBIRD	3	0.110		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1374780352	2023-12-18 11:08:56.769089	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				10					India	IN	Rajasthan	IN-RJ	Jaisalmer	IN-RJ-JS					Bhagoo Ka Gaon, Rajasthan, IN (26.92, 71.101)	L18251629	P	26.9195046	71.1010262	2022-03-26	09:45:00	obsr1079422	S105586081	Stationary	P21	EBIRD	30			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1520681111	2023-06-25 07:30:43.517946	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				1					India	IN	Rajasthan	IN-RJ	Jaisalmer	IN-RJ-JS					Desert NP (DNP) & Surroundings--General Area	L12609260	H	26.9058080	70.8060612	2022-09-18	07:51:00	obsr1656296	S118937407	Traveling	P22	EBIRD	17	19.160		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1534941066	2023-12-18 11:09:05.508861	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				3					India	IN	Rajasthan	IN-RJ	Jaisalmer	IN-RJ-JS	BIRDLIFE_18347				Jamra, Rajasthan, IN (26.761, 70.572)	L21153646	P	26.7609783	70.5722461	2022-10-08	15:53:00	obsr3377700	S120206824	Traveling	P22	EBIRD	65	10.330		3	1	G9006781	0	1	0			Desert National park	
URN:CornellLabOfOrnithology:EBIRD:OBS1534924333	2023-12-18 11:09:05.544038	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				3					India	IN	Rajasthan	IN-RJ	Jaisalmer	IN-RJ-JS	BIRDLIFE_18347				Jamra, Rajasthan, IN (26.761, 70.572)	L21153646	P	26.7609783	70.5722461	2022-10-08	15:53:00	obsr3409976	S120205644	Traveling	P22	EBIRD	65	10.330		3	1	G9006781	0	1	0			Desert National park	
URN:CornellLabOfOrnithology:EBIRD:OBS1534915779	2023-12-18 11:08:40.363646	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				2					India	IN	Rajasthan	IN-RJ	Jaisalmer	IN-RJ-JS	BIRDLIFE_18347				Desert NP--Sam to Sudasari Road	L13092596	H	26.7637113	70.5436421	2022-10-08	10:16:00	obsr3377700	S120204905	Traveling	P22	EBIRD	60	2.320		3	1	G9006675	0	1	0			Desert National park	
URN:CornellLabOfOrnithology:EBIRD:OBS1531948311	2022-10-04 05:48:18.249145	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				1					India	IN	Rajasthan	IN-RJ	Jaisalmer	IN-RJ-JS					Myajlar, Rajasthan, IN (26.255, 70.376)	L21107157	P	26.2554458	70.3764633	2022-10-04	15:15:00	obsr540138	S119940717	Traveling	P22	EBIRD	12	0.830		2	1		0	1	0			Observed soaring along with Egyptian Vultures	
URN:CornellLabOfOrnithology:EBIRD:OBS1534861448	2023-12-18 11:08:40.317497	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				2					India	IN	Rajasthan	IN-RJ	Jaisalmer	IN-RJ-JS	BIRDLIFE_18347				Desert NP--Sam to Sudasari Road	L13092596	H	26.7637113	70.5436421	2022-10-08	10:16:00	obsr3409976	S120200104	Traveling	P22	EBIRD	60	2.320		3	1	G9006675	0	1	0			Desert National park	
URN:CornellLabOfOrnithology:EBIRD:OBS1563529684	2022-11-17 02:08:45.266424	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				2					India	IN	Rajasthan	IN-RJ	Jaisalmer	IN-RJ-JS	BIRDLIFE_18347				Khuri (OBI)	L14860491	H	26.6132740	70.7145830	2022-11-13	10:11:00	obsr514857	S122545032	Traveling	P22	EBIRD	180	4.023		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1610651142	2023-12-18 11:10:53.333043	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				1					India	IN	Rajasthan	IN-RJ	Jaisalmer	IN-RJ-JS	BIRDLIFE_18347				Desert NP (DNP) & Surroundings--Sudasari	L942602	H	26.7223719	70.6044457	2023-01-20	08:12:00	obsr1334452	S126524922	Traveling	P22	EBIRD	320	54.655		10	1	G9524045	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1610728482	2024-01-01 21:32:30.724825	7745	species	avibase-FC2346E6	White-rumped Vulture	Gyps bengalensis				1					India	IN	Rajasthan	IN-RJ	Jaisalmer	IN-RJ-JS	BIRDLIFE_18347				Desert NP (DNP) & Surroundings--Sudasari	L942602	H	26.7223719	70.6044457	2023-01-20	08:12:00	obsr677848	S126530105	Traveling	P22	EBIRD	320	54.655		10	1	G9524045	1	1	0				
