GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1621911464	2023-02-03 10:55:58.365384	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				3					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--Zone 2	L4740085	H	26.0073035	76.4615929	2023-02-03	15:14:00	obsr239712	S127511501	Traveling	P22	EBIRD	158	17.436		26	1	G9601871	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1639199467	2023-10-23 12:03:53.500856	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				4					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--Ranthambore Fort	L6049052	H	26.0200000	76.4530556	2023-02-22	14:23:00	obsr1250492	S129352764	Traveling	P22	EBIRD	183	23.000		7	1	G9714937	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1626040732	2023-05-29 11:59:01.121445	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				5					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--Zone 2	L4740085	H	26.0073035	76.4615929	2023-02-08	14:49:00	obsr702935	S127877306	Traveling	P22	EBIRD	133	6.598		6	1	G9629110	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1636720962	2023-02-20 01:15:52.499743	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				6					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM					Ranthambore NP--Zone 6	L5607850	H	25.9795580	76.3762240	2023-02-20	06:52:00	obsr1213836	S129068155	Traveling	P22	EBIRD	157	24.155		4	1	G9697806	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1636736600	2023-02-20 01:00:07.576247	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				6					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM					Ranthambore NP--Zone 6	L5607850	H	25.9795580	76.3762240	2023-02-20	06:52:00	obsr1189630	S129068152	Traveling	P22	EBIRD	158	24.155		4	1	G9697806	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1627374432	2023-05-31 22:01:40.982019	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				8					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM					Ranthambore NP--Zone 6	L6000962	H	25.9644883	76.3903856	2023-02-09	15:07:00	obsr2037893	S127993907	Traveling	P22	EBIRD	147	5.150		6	1	G9636605	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1649036620	2023-10-23 12:08:53.142499	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				4					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--Ranthambore Fort	L6049052	H	26.0200000	76.4530556	2023-02-22	14:23:00	obsr1210909	S130291796	Traveling	P22	EBIRD	183	23.000		7	1	G9714937	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1655082561	2023-10-23 12:11:20.667937	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				1					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambhore NP--Zone 3	L2529173	H	26.0298695	76.4723539	2023-02-28	14:44:00	obsr512706	S130861049	Traveling	P22	EBIRD	140	14.280		3	1	G9815486	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1639173260	2023-10-23 12:03:50.730306	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				4					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--Ranthambore Fort	L6049052	H	26.0200000	76.4530556	2023-02-22	14:23:00	obsr288062	S129349537	Traveling	P22	EBIRD	183	23.000		7	1	G9714937	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1621929046	2023-02-03 11:09:52.623467	7746	species	avibase-C255F69A	Indian Vulture	Gyps indicus				3					India	IN	Rajasthan	IN-RJ	Sawai Madhopur	IN-RJ-SM	BIRDLIFE_18358				Ranthambore NP--Zone 2	L4740085	H	26.0073035	76.4615929	2023-02-03	15:14:00	obsr427267	S127512467	Traveling	P22	EBIRD	158	17.436		26	1	G9601871	0	1	0				
